time_period,geo,indic_is,ind_type,obs_value
2017,Norway,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",0.0
2017,Norway,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",0.0
2017,Norway,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",0.0
2017,Norway,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",0.0
2017,Norway,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",0.0
2017,Norway,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",0.0
2017,Norway,Individuals with no overall digital skills,"Individuals, 75 years old or more",2.0
2017,Poland,Individuals with above basic overall digital skills,All individuals,21.13
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",44.37
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",47.6
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",43.19
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",50.97
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",37.13
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",34.91
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",24.17
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",19.44
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",23.8
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",10.85
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",5.28
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",4.01
2017,Poland,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",1.91
2017,Poland,Individuals with basic overall digital skills,All individuals,25.25
2017,Poland,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",41.74
2017,Poland,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",37.09
2017,Poland,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",36.82
2017,Poland,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",32.23
2017,Poland,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",36.44
2017,Poland,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",37.51
2017,Poland,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",30.21
2017,Poland,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",26.07
2017,Poland,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",29.58
2017,Poland,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",21.6
2017,Poland,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",13.68
2017,Poland,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",10.87
2017,Poland,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",6.21
2017,Poland,Individuals with basic or above basic overall digital skills,All individuals,46.38
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",86.11
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",84.69
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",80.01
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",83.2
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",73.57
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",72.42
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",54.38
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",45.52
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",53.38
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",32.45
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",18.97
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",14.88
2017,Poland,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",8.12
2017,Poland,Individuals with low overall digital skills,All individuals,28.46
2017,Poland,Individuals with low overall digital skills,"Individuals, 16 to 19 years old",12.86
2017,Poland,Individuals with low overall digital skills,"Individuals, 16 to 24 years old",14.11
2017,Poland,Individuals with low overall digital skills,"Individuals, 16 to 29 years old",17.83
2017,Poland,Individuals with low overall digital skills,"Individuals, 20 to 24 years old",15.42
2017,Poland,Individuals with low overall digital skills,"Individuals, 25 to 29 years old",22.96
2017,Poland,Individuals with low overall digital skills,"Individuals, 25 to 34 years old",23.25
2017,Poland,Individuals with low overall digital skills,"Individuals, 25 to 54 years old",32.58
2017,Poland,Individuals with low overall digital skills,"Individuals, 25 to 64 years old",32.23
2017,Poland,Individuals with low overall digital skills,"Individuals, 35 to 44 years old",37.02
2017,Poland,Individuals with low overall digital skills,"Individuals, 45 to 54 years old",39.08
2017,Poland,Individuals with low overall digital skills,"Individuals, 55 to 64 years old",31.17
2017,Poland,Individuals with low overall digital skills,"Individuals, 55 to 74 years old",26.97
2017,Poland,Individuals with low overall digital skills,"Individuals, 65 to 74 years old",20.04
2017,Poland,Individuals with no overall digital skills,All individuals,1.15
2017,Poland,Individuals with no overall digital skills,"Individuals, 16 to 19 years old",0.75
2017,Poland,Individuals with no overall digital skills,"Individuals, 16 to 24 years old",0.45
2017,Poland,Individuals with no overall digital skills,"Individuals, 16 to 29 years old",0.53
2017,Poland,Individuals with no overall digital skills,"Individuals, 20 to 24 years old",0.13
2017,Poland,Individuals with no overall digital skills,"Individuals, 25 to 29 years old",0.65
2017,Poland,Individuals with no overall digital skills,"Individuals, 25 to 34 years old",0.64
2017,Poland,Individuals with no overall digital skills,"Individuals, 25 to 54 years old",1.03
2017,Poland,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",1.29
2017,Poland,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",0.99
2017,Poland,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",1.57
2017,Poland,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",2.1
2017,Poland,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",1.68
2017,Poland,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",0.98
2017,Portugal,Individuals with above basic overall digital skills,All individuals,30.75
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",66.66
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",66.01
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",63.65
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",65.32
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",56.26
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",51.53
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",36.28
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",29.93
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",44.7
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",24.61
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",10.47
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",7.46
2017,Portugal,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",3.77
2017,Portugal,Individuals with basic overall digital skills,All individuals,19.51
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",21.13
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",22.91
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",23.47
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",24.81
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",25.24
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",26.61
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",23.22
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",21.02
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",22.91
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",22.18
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",14.25
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",11.9
2017,Portugal,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",9.03
2017,Portugal,Individuals with basic or above basic overall digital skills,All individuals,50.26
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",87.8
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",88.92
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",87.12
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",90.12
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",81.5
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",78.14
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",59.5
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",50.95
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",67.61
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",46.79
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",24.72
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",19.36
2017,Portugal,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",12.8
2017,Portugal,Individuals with low overall digital skills,All individuals,22.53
2017,Portugal,Individuals with low overall digital skills,"Individuals, 16 to 19 years old",11.16
2017,Portugal,Individuals with low overall digital skills,"Individuals, 16 to 24 years old",10.03
2017,Portugal,Individuals with low overall digital skills,"Individuals, 16 to 29 years old",11.44
2017,Portugal,Individuals with low overall digital skills,"Individuals, 20 to 24 years old",8.83
2017,Portugal,Individuals with low overall digital skills,"Individuals, 25 to 29 years old",15.84
2017,Portugal,Individuals with low overall digital skills,"Individuals, 25 to 34 years old",19.24
2017,Portugal,Individuals with low overall digital skills,"Individuals, 25 to 54 years old",24.74
2017,Portugal,Individuals with low overall digital skills,"Individuals, 25 to 64 years old",25.86
2017,Portugal,Individuals with low overall digital skills,"Individuals, 35 to 44 years old",24.78
2017,Portugal,Individuals with low overall digital skills,"Individuals, 45 to 54 years old",26.75
2017,Portugal,Individuals with low overall digital skills,"Individuals, 55 to 64 years old",29.3
2017,Portugal,Individuals with low overall digital skills,"Individuals, 55 to 74 years old",23.75
2017,Portugal,Individuals with low overall digital skills,"Individuals, 65 to 74 years old",16.97
2017,Portugal,Individuals with no overall digital skills,All individuals,1.0
2017,Portugal,Individuals with no overall digital skills,"Individuals, 16 to 19 years old",0.0
2017,Portugal,Individuals with no overall digital skills,"Individuals, 16 to 24 years old",0.0
2017,Portugal,Individuals with no overall digital skills,"Individuals, 16 to 29 years old",0.0
2017,Portugal,Individuals with no overall digital skills,"Individuals, 20 to 24 years old",0.0
2017,Portugal,Individuals with no overall digital skills,"Individuals, 25 to 29 years old",0.0
2017,Portugal,Individuals with no overall digital skills,"Individuals, 25 to 34 years old",0.27
2017,Portugal,Individuals with no overall digital skills,"Individuals, 25 to 54 years old",1.11
2017,Portugal,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",1.11
2017,Portugal,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",0.83
2017,Portugal,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",1.63
2017,Portugal,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",1.1
2017,Portugal,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",1.22
2017,Portugal,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",1.36
2017,Romania,Individuals with above basic overall digital skills,All individuals,10.15
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",18.58
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",21.03
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",20.24
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",23.01
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",18.91
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",17.28
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",12.05
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",9.9
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",12.57
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",6.55
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",3.0
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",1.84
2017,Romania,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",0.26
2017,Romania,Individuals with basic overall digital skills,All individuals,18.9
2017,Romania,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",33.29
2017,Romania,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",31.52
2017,Romania,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",29.41
2017,Romania,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",30.08
2017,Romania,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",25.87
2017,Romania,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",26.2
2017,Romania,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",22.03
2017,Romania,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",19.24
2017,Romania,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",21.51
2017,Romania,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",18.69
2017,Romania,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",10.29
2017,Romania,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",7.54
2017,Romania,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",3.8
2017,Romania,Individuals with basic or above basic overall digital skills,All individuals,29.05
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",51.87
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",52.55
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",49.64
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",53.09
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",44.79
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",43.48
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",34.08
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",29.14
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",34.08
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",25.24
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",13.28
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",9.38
2017,Romania,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",4.06
2017,Romania,Individuals with low overall digital skills,All individuals,34.69
2017,Romania,Individuals with low overall digital skills,"Individuals, 16 to 19 years old",40.78
2017,Romania,Individuals with low overall digital skills,"Individuals, 16 to 24 years old",39.44
2017,Romania,Individuals with low overall digital skills,"Individuals, 16 to 29 years old",39.17
2017,Romania,Individuals with low overall digital skills,"Individuals, 20 to 24 years old",38.36
2017,Romania,Individuals with low overall digital skills,"Individuals, 25 to 29 years old",38.71
2017,Romania,Individuals with low overall digital skills,"Individuals, 25 to 34 years old",42.06
2017,Romania,Individuals with low overall digital skills,"Individuals, 25 to 54 years old",40.71
2017,Romania,Individuals with low overall digital skills,"Individuals, 25 to 64 years old",37.44
2017,Romania,Individuals with low overall digital skills,"Individuals, 35 to 44 years old",42.28
2017,Romania,Individuals with low overall digital skills,"Individuals, 45 to 54 years old",37.72
2017,Romania,Individuals with low overall digital skills,"Individuals, 55 to 64 years old",26.92
2017,Romania,Individuals with low overall digital skills,"Individuals, 55 to 74 years old",21.43
2017,Romania,Individuals with low overall digital skills,"Individuals, 65 to 74 years old",13.94
2017,Romania,Individuals with no overall digital skills,All individuals,0.02
2017,Romania,Individuals with no overall digital skills,"Individuals, 16 to 19 years old",0.0
2017,Romania,Individuals with no overall digital skills,"Individuals, 16 to 24 years old",0.0
2017,Romania,Individuals with no overall digital skills,"Individuals, 16 to 29 years old",0.0
2017,Romania,Individuals with no overall digital skills,"Individuals, 20 to 24 years old",0.0
2017,Romania,Individuals with no overall digital skills,"Individuals, 25 to 29 years old",0.0
2017,Romania,Individuals with no overall digital skills,"Individuals, 25 to 34 years old",0.0
2017,Romania,Individuals with no overall digital skills,"Individuals, 25 to 54 years old",0.02
2017,Romania,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",0.02
2017,Romania,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",0.02
2017,Romania,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",0.05
2017,Romania,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",0.0
2017,Romania,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",0.01
2017,Romania,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",0.02
2017,Serbia,Individuals with above basic overall digital skills,All individuals,19.26
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",43.85
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",49.47
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",46.51
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",54.88
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",41.43
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",32.82
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",22.28
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",17.64
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",21.66
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",12.64
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",5.23
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",3.38
2017,Serbia,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",0.85
2017,Serbia,Individuals with basic overall digital skills,All individuals,19.6
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",35.15
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",30.42
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",27.98
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",25.88
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",23.81
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",29.13
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",24.75
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",21.02
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",25.84
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",19.35
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",11.02
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",7.61
2017,Serbia,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",2.94
2017,Serbia,Individuals with basic or above basic overall digital skills,All individuals,38.87
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",79.0
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",79.89
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",74.49
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",80.75
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",65.24
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",61.96
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",47.03
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",38.67
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",47.5
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",31.99
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",16.26
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",10.99
2017,Serbia,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",3.8
2017,Serbia,Individuals with low overall digital skills,All individuals,31.19
2017,Serbia,Individuals with low overall digital skills,"Individuals, 16 to 19 years old",21.0
2017,Serbia,Individuals with low overall digital skills,"Individuals, 16 to 24 years old",18.11
2017,Serbia,Individuals with low overall digital skills,"Individuals, 16 to 29 years old",23.15
2017,Serbia,Individuals with low overall digital skills,"Individuals, 20 to 24 years old",15.32
2017,Serbia,Individuals with low overall digital skills,"Individuals, 25 to 29 years old",31.78
2017,Serbia,Individuals with low overall digital skills,"Individuals, 25 to 34 years old",35.0
2017,Serbia,Individuals with low overall digital skills,"Individuals, 25 to 54 years old",38.96
2017,Serbia,Individuals with low overall digital skills,"Individuals, 25 to 64 years old",37.06
2017,Serbia,Individuals with low overall digital skills,"Individuals, 35 to 44 years old",40.81
2017,Serbia,Individuals with low overall digital skills,"Individuals, 45 to 54 years old",40.88
2017,Serbia,Individuals with low overall digital skills,"Individuals, 55 to 64 years old",31.96
2017,Serbia,Individuals with low overall digital skills,"Individuals, 55 to 74 years old",24.02
2017,Serbia,Individuals with low overall digital skills,"Individuals, 65 to 74 years old",13.16
2017,Serbia,Individuals with no overall digital skills,All individuals,0.27
2017,Serbia,Individuals with no overall digital skills,"Individuals, 16 to 19 years old",0.0
2017,Serbia,Individuals with no overall digital skills,"Individuals, 16 to 24 years old",0.0
2017,Serbia,Individuals with no overall digital skills,"Individuals, 16 to 29 years old",0.0
2017,Serbia,Individuals with no overall digital skills,"Individuals, 20 to 24 years old",0.0
2017,Serbia,Individuals with no overall digital skills,"Individuals, 25 to 29 years old",0.0
2017,Serbia,Individuals with no overall digital skills,"Individuals, 25 to 34 years old",0.0
2017,Serbia,Individuals with no overall digital skills,"Individuals, 25 to 54 years old",0.16
2017,Serbia,Individuals with no overall digital skills,"Individuals, 25 to 64 years old",0.32
2017,Serbia,Individuals with no overall digital skills,"Individuals, 35 to 44 years old",0.0
2017,Serbia,Individuals with no overall digital skills,"Individuals, 45 to 54 years old",0.48
2017,Serbia,Individuals with no overall digital skills,"Individuals, 55 to 64 years old",0.75
2017,Serbia,Individuals with no overall digital skills,"Individuals, 55 to 74 years old",0.55
2017,Serbia,Individuals with no overall digital skills,"Individuals, 65 to 74 years old",0.28
2017,Slovakia,Individuals with above basic overall digital skills,All individuals,33.07
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 15 years old or less",37.3
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 16 to 19 years old",58.69
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 16 to 24 years old",61.1
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 16 to 29 years old",58.89
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 20 to 24 years old",62.51
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 25 to 29 years old",55.78
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 25 to 34 years old",51.11
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 25 to 54 years old",38.39
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 25 to 64 years old",32.55
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 35 to 44 years old",37.62
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 45 to 54 years old",24.7
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 55 to 64 years old",13.12
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 55 to 74 years old",9.72
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 65 to 74 years old",4.67
2017,Slovakia,Individuals with above basic overall digital skills,"Individuals, 75 years old or more",0.52
2017,Slovakia,Individuals with basic overall digital skills,All individuals,25.95
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 15 years old or less",35.99
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 16 to 19 years old",27.8
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 16 to 24 years old",24.2
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 16 to 29 years old",26.64
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 20 to 24 years old",22.09
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 25 to 29 years old",30.06
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 25 to 34 years old",27.84
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 25 to 54 years old",31.14
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 25 to 64 years old",28.98
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 35 to 44 years old",34.24
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 45 to 54 years old",31.1
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 55 to 64 years old",21.81
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 55 to 74 years old",16.44
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 65 to 74 years old",8.48
2017,Slovakia,Individuals with basic overall digital skills,"Individuals, 75 years old or more",3.46
2017,Slovakia,Individuals with basic or above basic overall digital skills,All individuals,59.01
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 15 years old or less",73.29
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 19 years old",86.5
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 24 years old",85.3
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 16 to 29 years old",85.52
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 20 to 24 years old",84.6
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 29 years old",85.84
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 34 years old",78.95
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 54 years old",69.53
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 25 to 64 years old",61.53
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 35 to 44 years old",71.86
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 45 to 54 years old",55.8
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 64 years old",34.93
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 55 to 74 years old",26.16
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 65 to 74 years old",13.15
2017,Slovakia,Individuals with basic or above basic overall digital skills,"Individuals, 75 years old or more",3.97
2017,Slovakia,Individuals with low overall digital skills,All individuals,22.35
