Reason,Country,Year,Value
"access not needed (content is not useful, interesting, etc.)",Malta,2013,10.67
other reasons,Malta,2013,2.12
privacy or security concerns,Malta,2013,0.39
lack of skills,Malta,2013,10.78
"access costs are too high (telephone, etc.)",Netherlands,2013,0.79
broadband is not available in the area,Netherlands,2013,0.02
access elsewhere,Netherlands,2013,0.39
equipment costs are too high,Netherlands,2013,0.72
"access not needed (content is not useful, interesting, etc.)",Netherlands,2013,3.34
other reasons,Netherlands,2013,0.64
privacy or security concerns,Netherlands,2013,0.4
lack of skills,Netherlands,2013,1.06
"access costs are too high (telephone, etc.)",Poland,2013,6.11
broadband is not available in the area,Poland,2013,0.61
access elsewhere,Poland,2013,1.05
equipment costs are too high,Poland,2013,7.81
"access not needed (content is not useful, interesting, etc.)",Poland,2013,18.1
other reasons,Poland,2013,4.11
privacy or security concerns,Poland,2013,0.38
lack of skills,Poland,2013,9.98
"access costs are too high (telephone, etc.)",Portugal,2013,18.38
broadband is not available in the area,Portugal,2013,1.75
access elsewhere,Portugal,2013,4.05
equipment costs are too high,Portugal,2013,18.5
"access not needed (content is not useful, interesting, etc.)",Portugal,2013,20.44
other reasons,Portugal,2013,3.11
privacy or security concerns,Portugal,2013,5.1
lack of skills,Portugal,2013,23.36
"access costs are too high (telephone, etc.)",Romania,2013,12.28
broadband is not available in the area,Romania,2013,0.78
access elsewhere,Romania,2013,3.9
equipment costs are too high,Romania,2013,17.07
"access not needed (content is not useful, interesting, etc.)",Romania,2013,11.96
other reasons,Romania,2013,4.0
privacy or security concerns,Romania,2013,0.31
lack of skills,Romania,2013,15.44
"access costs are too high (telephone, etc.)",Slovakia,2013,4.26
access elsewhere,Slovakia,2013,4.4
equipment costs are too high,Slovakia,2013,4.87
"access not needed (content is not useful, interesting, etc.)",Slovakia,2013,11.35
other reasons,Slovakia,2013,1.23
privacy or security concerns,Slovakia,2013,1.04
lack of skills,Slovakia,2013,9.75
"access costs are too high (telephone, etc.)",Slovenia,2013,12.41
broadband is not available in the area,Slovenia,2013,4.35
access elsewhere,Slovenia,2013,1.99
equipment costs are too high,Slovenia,2013,12.63
"access not needed (content is not useful, interesting, etc.)",Slovenia,2013,18.8
other reasons,Slovenia,2013,4.02
privacy or security concerns,Slovenia,2013,6.07
lack of skills,Slovenia,2013,15.44
"access costs are too high (telephone, etc.)",Spain,2013,8.79
broadband is not available in the area,Spain,2013,0.63
access elsewhere,Spain,2013,3.52
equipment costs are too high,Spain,2013,9.6
"access not needed (content is not useful, interesting, etc.)",Spain,2013,19.66
other reasons,Spain,2013,2.73
privacy or security concerns,Spain,2013,0.93
lack of skills,Spain,2013,10.9
"access costs are too high (telephone, etc.)",Sweden,2013,1.82
broadband is not available in the area,Sweden,2013,0.17
access elsewhere,Sweden,2013,2.34
equipment costs are too high,Sweden,2013,1.97
"access not needed (content is not useful, interesting, etc.)",Sweden,2013,4.09
other reasons,Sweden,2013,4.14
privacy or security concerns,Sweden,2013,1.34
lack of skills,Sweden,2013,1.82
"access costs are too high (telephone, etc.)",United Kingdom,2013,1.33
broadband is not available in the area,United Kingdom,2013,0.01
access elsewhere,United Kingdom,2013,1.43
equipment costs are too high,United Kingdom,2013,0.55
"access not needed (content is not useful, interesting, etc.)",United Kingdom,2013,2.09
other reasons,United Kingdom,2013,0.71
privacy or security concerns,United Kingdom,2013,0.36
lack of skills,United Kingdom,2013,1.59
"access costs are too high (telephone, etc.)",Austria,2014,2.28
broadband is not available in the area,Austria,2014,0.22
access elsewhere,Austria,2014,3.22
equipment costs are too high,Austria,2014,2.31
"access not needed (content is not useful, interesting, etc.)",Austria,2014,13.95
other reasons,Austria,2014,1.2
privacy or security concerns,Austria,2014,1.85
lack of skills,Austria,2014,3.99
"access costs are too high (telephone, etc.)",Belgium,2014,3.57
broadband is not available in the area,Belgium,2014,0.11
access elsewhere,Belgium,2014,1.9
equipment costs are too high,Belgium,2014,4.35
"access not needed (content is not useful, interesting, etc.)",Belgium,2014,7.51
other reasons,Belgium,2014,4.05
privacy or security concerns,Belgium,2014,1.42
lack of skills,Belgium,2014,4.95
"access costs are too high (telephone, etc.)",Bulgaria,2014,10.97
broadband is not available in the area,Bulgaria,2014,0.28
access elsewhere,Bulgaria,2014,1.71
equipment costs are too high,Bulgaria,2014,16.18
"access not needed (content is not useful, interesting, etc.)",Bulgaria,2014,19.9
other reasons,Bulgaria,2014,2.76
privacy or security concerns,Bulgaria,2014,0.53
lack of skills,Bulgaria,2014,22.14
"access costs are too high (telephone, etc.)",Croatia,2014,8.02
broadband is not available in the area,Croatia,2014,1.09
access elsewhere,Croatia,2014,2.45
equipment costs are too high,Croatia,2014,7.19
"access not needed (content is not useful, interesting, etc.)",Croatia,2014,18.63
other reasons,Croatia,2014,3.13
privacy or security concerns,Croatia,2014,1.62
lack of skills,Croatia,2014,6.25
"access costs are too high (telephone, etc.)",Cyprus,2014,9.57
broadband is not available in the area,Cyprus,2014,0.05
access elsewhere,Cyprus,2014,6.52
equipment costs are too high,Cyprus,2014,4.66
"access not needed (content is not useful, interesting, etc.)",Cyprus,2014,11.35
other reasons,Cyprus,2014,0.64
privacy or security concerns,Cyprus,2014,0.36
lack of skills,Cyprus,2014,22.0
"access costs are too high (telephone, etc.)",Denmark,2014,0.56
broadband is not available in the area,Denmark,2014,0.14
access elsewhere,Denmark,2014,1.07
equipment costs are too high,Denmark,2014,0.89
"access not needed (content is not useful, interesting, etc.)",Denmark,2014,1.86
other reasons,Denmark,2014,1.27
privacy or security concerns,Denmark,2014,0.39
lack of skills,Denmark,2014,1.47
"access costs are too high (telephone, etc.)",EU-27(from 2020),2014,4.96
broadband is not available in the area,EU-27(from 2020),2014,0.56
access elsewhere,EU-27(from 2020),2014,2.57
equipment costs are too high,EU-27(from 2020),2014,5.66
"access not needed (content is not useful, interesting, etc.)",EU-27(from 2020),2014,9.06
other reasons,EU-27(from 2020),2014,2.43
privacy or security concerns,EU-27(from 2020),2014,1.85
lack of skills,EU-27(from 2020),2014,8.34
"access costs are too high (telephone, etc.)",EU-28(2013-2020),2014,4.52
broadband is not available in the area,EU-28(2013-2020),2014,0.5
access elsewhere,EU-28(2013-2020),2014,2.41
equipment costs are too high,EU-28(2013-2020),2014,5.11
"access not needed (content is not useful, interesting, etc.)",EU-28(2013-2020),2014,8.43
other reasons,EU-28(2013-2020),2014,2.14
privacy or security concerns,EU-28(2013-2020),2014,1.7
lack of skills,EU-28(2013-2020),2014,7.64
"access costs are too high (telephone, etc.)",Estonia,2014,2.59
broadband is not available in the area,Estonia,2014,0.23
access elsewhere,Estonia,2014,3.52
equipment costs are too high,Estonia,2014,4.2
"access not needed (content is not useful, interesting, etc.)",Estonia,2014,11.2
other reasons,Estonia,2014,0.93
privacy or security concerns,Estonia,2014,0.22
lack of skills,Estonia,2014,5.72
"access costs are too high (telephone, etc.)",Finland,2014,2.74
broadband is not available in the area,Finland,2014,1.03
access elsewhere,Finland,2014,2.88
equipment costs are too high,Finland,2014,3.48
"access not needed (content is not useful, interesting, etc.)",Finland,2014,7.1
other reasons,Finland,2014,1.61
privacy or security concerns,Finland,2014,2.64
lack of skills,Finland,2014,5.57
"access costs are too high (telephone, etc.)",France,2014,5.72
broadband is not available in the area,France,2014,0.95
access elsewhere,France,2014,2.64
equipment costs are too high,France,2014,6.31
"access not needed (content is not useful, interesting, etc.)",France,2014,4.34
other reasons,France,2014,4.65
privacy or security concerns,France,2014,3.71
lack of skills,France,2014,5.51
"access costs are too high (telephone, etc.)",Germany,2014,2.59
broadband is not available in the area,Germany,2014,0.34
access elsewhere,Germany,2014,2.2
equipment costs are too high,Germany,2014,2.89
"access not needed (content is not useful, interesting, etc.)",Germany,2014,6.15
other reasons,Germany,2014,0.39
privacy or security concerns,Germany,2014,2.68
lack of skills,Germany,2014,3.57
"access costs are too high (telephone, etc.)",Greece,2014,4.19
broadband is not available in the area,Greece,2014,0.47
access elsewhere,Greece,2014,1.91
equipment costs are too high,Greece,2014,6.15
"access not needed (content is not useful, interesting, etc.)",Greece,2014,8.69
other reasons,Greece,2014,3.69
privacy or security concerns,Greece,2014,0.67
lack of skills,Greece,2014,18.34
"access costs are too high (telephone, etc.)",Hungary,2014,10.67
broadband is not available in the area,Hungary,2014,0.87
access elsewhere,Hungary,2014,4.32
equipment costs are too high,Hungary,2014,13.34
"access not needed (content is not useful, interesting, etc.)",Hungary,2014,17.48
other reasons,Hungary,2014,2.02
privacy or security concerns,Hungary,2014,3.08
lack of skills,Hungary,2014,13.48
"access costs are too high (telephone, etc.)",Ireland,2014,2.17
broadband is not available in the area,Ireland,2014,0.64
access elsewhere,Ireland,2014,1.95
equipment costs are too high,Ireland,2014,2.28
"access not needed (content is not useful, interesting, etc.)",Ireland,2014,7.48
other reasons,Ireland,2014,1.52
privacy or security concerns,Ireland,2014,0.49
lack of skills,Ireland,2014,6.92
"access costs are too high (telephone, etc.)",Italy,2014,4.2
broadband is not available in the area,Italy,2014,0.51
access elsewhere,Italy,2014,3.39
equipment costs are too high,Italy,2014,3.43
"access not needed (content is not useful, interesting, etc.)",Italy,2014,6.68
other reasons,Italy,2014,1.57
privacy or security concerns,Italy,2014,0.7
lack of skills,Italy,2014,12.53
"access costs are too high (telephone, etc.)",Latvia,2014,5.1
broadband is not available in the area,Latvia,2014,0.83
access elsewhere,Latvia,2014,5.3
equipment costs are too high,Latvia,2014,8.36
"access not needed (content is not useful, interesting, etc.)",Latvia,2014,12.46
other reasons,Latvia,2014,0.71
privacy or security concerns,Latvia,2014,0.33
lack of skills,Latvia,2014,9.84
"access costs are too high (telephone, etc.)",Lithuania,2014,6.47
broadband is not available in the area,Lithuania,2014,0.61
access elsewhere,Lithuania,2014,3.29
equipment costs are too high,Lithuania,2014,6.5
"access not needed (content is not useful, interesting, etc.)",Lithuania,2014,22.03
other reasons,Lithuania,2014,0.45
privacy or security concerns,Lithuania,2014,0.18
lack of skills,Lithuania,2014,5.19
"access costs are too high (telephone, etc.)",Luxembourg,2014,0.28
access elsewhere,Luxembourg,2014,0.98
equipment costs are too high,Luxembourg,2014,0.34
"access not needed (content is not useful, interesting, etc.)",Luxembourg,2014,2.62
other reasons,Luxembourg,2014,0.39
privacy or security concerns,Luxembourg,2014,0.95
lack of skills,Luxembourg,2014,0.99
"access costs are too high (telephone, etc.)",Malta,2014,2.41
access elsewhere,Malta,2014,1.69
equipment costs are too high,Malta,2014,1.69
"access not needed (content is not useful, interesting, etc.)",Malta,2014,10.71
other reasons,Malta,2014,2.05
privacy or security concerns,Malta,2014,0.47
lack of skills,Malta,2014,9.36
"access costs are too high (telephone, etc.)",Netherlands,2014,0.64
broadband is not available in the area,Netherlands,2014,0.09
access elsewhere,Netherlands,2014,0.6
equipment costs are too high,Netherlands,2014,0.57
"access not needed (content is not useful, interesting, etc.)",Netherlands,2014,2.42
other reasons,Netherlands,2014,0.87
privacy or security concerns,Netherlands,2014,0.7
lack of skills,Netherlands,2014,1.08
"access costs are too high (telephone, etc.)",Poland,2014,5.59
broadband is not available in the area,Poland,2014,0.54
access elsewhere,Poland,2014,1.04
equipment costs are too high,Poland,2014,7.18
"access not needed (content is not useful, interesting, etc.)",Poland,2014,14.78
other reasons,Poland,2014,4.02
privacy or security concerns,Poland,2014,0.58
lack of skills,Poland,2014,11.21
"access costs are too high (telephone, etc.)",Portugal,2014,14.39
broadband is not available in the area,Portugal,2014,1.43
access elsewhere,Portugal,2014,3.82
equipment costs are too high,Portugal,2014,14.65
"access not needed (content is not useful, interesting, etc.)",Portugal,2014,15.46
other reasons,Portugal,2014,2.16
privacy or security concerns,Portugal,2014,4.75
lack of skills,Portugal,2014,22.82
"access costs are too high (telephone, etc.)",Romania,2014,11.05
broadband is not available in the area,Romania,2014,0.34
access elsewhere,Romania,2014,4.43
equipment costs are too high,Romania,2014,16.1
"access not needed (content is not useful, interesting, etc.)",Romania,2014,12.54
other reasons,Romania,2014,3.3
privacy or security concerns,Romania,2014,0.28
lack of skills,Romania,2014,16.4
"access costs are too high (telephone, etc.)",Slovakia,2014,2.97
broadband is not available in the area,Slovakia,2014,0.08
access elsewhere,Slovakia,2014,3.63
equipment costs are too high,Slovakia,2014,3.51
"access not needed (content is not useful, interesting, etc.)",Slovakia,2014,10.64
other reasons,Slovakia,2014,1.9
privacy or security concerns,Slovakia,2014,1.2
lack of skills,Slovakia,2014,10.6
"access costs are too high (telephone, etc.)",Slovenia,2014,10.42
broadband is not available in the area,Slovenia,2014,2.93
access elsewhere,Slovenia,2014,2.09
equipment costs are too high,Slovenia,2014,10.94
"access not needed (content is not useful, interesting, etc.)",Slovenia,2014,15.9
other reasons,Slovenia,2014,3.22
privacy or security concerns,Slovenia,2014,5.52
lack of skills,Slovenia,2014,14.39
"access costs are too high (telephone, etc.)",Spain,2014,7.34
broadband is not available in the area,Spain,2014,0.79
access elsewhere,Spain,2014,3.24
equipment costs are too high,Spain,2014,7.92
"access not needed (content is not useful, interesting, etc.)",Spain,2014,15.48
other reasons,Spain,2014,3.93
privacy or security concerns,Spain,2014,1.13
lack of skills,Spain,2014,9.87
"access costs are too high (telephone, etc.)",Sweden,2014,2.5
broadband is not available in the area,Sweden,2014,0.72
access elsewhere,Sweden,2014,2.27
equipment costs are too high,Sweden,2014,2.24
"access not needed (content is not useful, interesting, etc.)",Sweden,2014,6.87
other reasons,Sweden,2014,3.87
privacy or security concerns,Sweden,2014,2.32
lack of skills,Sweden,2014,4.86
"access costs are too high (telephone, etc.)",United Kingdom,2014,1.58
broadband is not available in the area,United Kingdom,2014,0.08
access elsewhere,United Kingdom,2014,1.3
equipment costs are too high,United Kingdom,2014,1.4
"access not needed (content is not useful, interesting, etc.)",United Kingdom,2014,4.17
other reasons,United Kingdom,2014,0.17
privacy or security concerns,United Kingdom,2014,0.68
lack of skills,United Kingdom,2014,2.88
"access costs are too high (telephone, etc.)",Austria,2015,1.65
broadband is not available in the area,Austria,2015,0.27
access elsewhere,Austria,2015,2.42
equipment costs are too high,Austria,2015,1.84
"access not needed (content is not useful, interesting, etc.)",Austria,2015,13.8
other reasons,Austria,2015,0.85
privacy or security concerns,Austria,2015,1.61
lack of skills,Austria,2015,3.69
"access costs are too high (telephone, etc.)",Belgium,2015,3.45
broadband is not available in the area,Belgium,2015,0.1
access elsewhere,Belgium,2015,1.98
equipment costs are too high,Belgium,2015,4.61
"access not needed (content is not useful, interesting, etc.)",Belgium,2015,8.06
other reasons,Belgium,2015,3.68
privacy or security concerns,Belgium,2015,1.42
lack of skills,Belgium,2015,5.67
"access costs are too high (telephone, etc.)",Bulgaria,2015,9.86
broadband is not available in the area,Bulgaria,2015,0.61
access elsewhere,Bulgaria,2015,1.58
equipment costs are too high,Bulgaria,2015,12.11
"access not needed (content is not useful, interesting, etc.)",Bulgaria,2015,17.7
other reasons,Bulgaria,2015,2.44
privacy or security concerns,Bulgaria,2015,0.46
lack of skills,Bulgaria,2015,20.88
"access costs are too high (telephone, etc.)",Croatia,2015,8.88
broadband is not available in the area,Croatia,2015,0.75
access elsewhere,Croatia,2015,2.88
equipment costs are too high,Croatia,2015,8.1
"access not needed (content is not useful, interesting, etc.)",Croatia,2015,15.92
other reasons,Croatia,2015,0.86
privacy or security concerns,Croatia,2015,3.13
lack of skills,Croatia,2015,9.55
"access costs are too high (telephone, etc.)",Cyprus,2015,13.66
broadband is not available in the area,Cyprus,2015,0.53
access elsewhere,Cyprus,2015,5.07
equipment costs are too high,Cyprus,2015,13.81
"access not needed (content is not useful, interesting, etc.)",Cyprus,2015,16.95
other reasons,Cyprus,2015,4.09
privacy or security concerns,Cyprus,2015,2.04
lack of skills,Cyprus,2015,15.12
"access costs are too high (telephone, etc.)",Denmark,2015,0.58
broadband is not available in the area,Denmark,2015,0.29
access elsewhere,Denmark,2015,1.42
equipment costs are too high,Denmark,2015,0.75
"access not needed (content is not useful, interesting, etc.)",Denmark,2015,2.23
other reasons,Denmark,2015,1.21
privacy or security concerns,Denmark,2015,0.4
lack of skills,Denmark,2015,1.77
"access costs are too high (telephone, etc.)",EU-27(from 2020),2015,4.23
broadband is not available in the area,EU-27(from 2020),2015,0.56
access elsewhere,EU-27(from 2020),2015,2.19
equipment costs are too high,EU-27(from 2020),2015,4.96
"access not needed (content is not useful, interesting, etc.)",EU-27(from 2020),2015,8.46
other reasons,EU-27(from 2020),2015,2.04
privacy or security concerns,EU-27(from 2020),2015,1.73
lack of skills,EU-27(from 2020),2015,7.63
"access costs are too high (telephone, etc.)",EU-28(2013-2020),2015,3.87
broadband is not available in the area,EU-28(2013-2020),2015,0.5
access elsewhere,EU-28(2013-2020),2015,2.05
equipment costs are too high,EU-28(2013-2020),2015,4.54
"access not needed (content is not useful, interesting, etc.)",EU-28(2013-2020),2015,7.88
other reasons,EU-28(2013-2020),2015,1.94
privacy or security concerns,EU-28(2013-2020),2015,1.57
lack of skills,EU-28(2013-2020),2015,6.97
"access costs are too high (telephone, etc.)",Estonia,2015,1.6
broadband is not available in the area,Estonia,2015,0.38
access elsewhere,Estonia,2015,2.05
equipment costs are too high,Estonia,2015,2.92
"access not needed (content is not useful, interesting, etc.)",Estonia,2015,8.17
other reasons,Estonia,2015,0.33
privacy or security concerns,Estonia,2015,0.3
lack of skills,Estonia,2015,2.99
"access costs are too high (telephone, etc.)",Finland,2015,2.25
broadband is not available in the area,Finland,2015,0.64
access elsewhere,Finland,2015,2.39
equipment costs are too high,Finland,2015,2.38
"access not needed (content is not useful, interesting, etc.)",Finland,2015,7.57
other reasons,Finland,2015,0.95
privacy or security concerns,Finland,2015,2.55
lack of skills,Finland,2015,5.65
"access costs are too high (telephone, etc.)",France,2015,5.04
broadband is not available in the area,France,2015,0.83
access elsewhere,France,2015,2.11
equipment costs are too high,France,2015,5.82
"access not needed (content is not useful, interesting, etc.)",France,2015,4.31
other reasons,France,2015,3.89
privacy or security concerns,France,2015,3.46
lack of skills,France,2015,4.86
"access costs are too high (telephone, etc.)",Germany,2015,2.42
broadband is not available in the area,Germany,2015,0.5
access elsewhere,Germany,2015,2.04
equipment costs are too high,Germany,2015,2.72
"access not needed (content is not useful, interesting, etc.)",Germany,2015,5.47
other reasons,Germany,2015,0.53
privacy or security concerns,Germany,2015,2.45
lack of skills,Germany,2015,3.06
"access costs are too high (telephone, etc.)",Greece,2015,3.66
broadband is not available in the area,Greece,2015,0.38
access elsewhere,Greece,2015,1.95
equipment costs are too high,Greece,2015,6.68
"access not needed (content is not useful, interesting, etc.)",Greece,2015,7.99
other reasons,Greece,2015,2.51
privacy or security concerns,Greece,2015,0.8
lack of skills,Greece,2015,18.7
"access costs are too high (telephone, etc.)",Hungary,2015,12.27
broadband is not available in the area,Hungary,2015,1.34
access elsewhere,Hungary,2015,4.12
equipment costs are too high,Hungary,2015,14.11
"access not needed (content is not useful, interesting, etc.)",Hungary,2015,16.64
other reasons,Hungary,2015,2.66
privacy or security concerns,Hungary,2015,4.57
lack of skills,Hungary,2015,15.03
"access costs are too high (telephone, etc.)",Ireland,2015,1.92
broadband is not available in the area,Ireland,2015,0.72
access elsewhere,Ireland,2015,1.23
equipment costs are too high,Ireland,2015,2.27
"access not needed (content is not useful, interesting, etc.)",Ireland,2015,6.41
other reasons,Ireland,2015,1.22
privacy or security concerns,Ireland,2015,0.53
lack of skills,Ireland,2015,6.54
"access costs are too high (telephone, etc.)",Italy,2015,3.44
broadband is not available in the area,Italy,2015,0.56
access elsewhere,Italy,2015,3.05
equipment costs are too high,Italy,2015,2.98
"access not needed (content is not useful, interesting, etc.)",Italy,2015,5.99
other reasons,Italy,2015,1.42
privacy or security concerns,Italy,2015,0.77
lack of skills,Italy,2015,11.25
"access costs are too high (telephone, etc.)",Latvia,2015,3.95
broadband is not available in the area,Latvia,2015,0.32
access elsewhere,Latvia,2015,4.93
equipment costs are too high,Latvia,2015,5.96
"access not needed (content is not useful, interesting, etc.)",Latvia,2015,12.32
other reasons,Latvia,2015,0.57
privacy or security concerns,Latvia,2015,0.04
lack of skills,Latvia,2015,8.11
"access costs are too high (telephone, etc.)",Lithuania,2015,7.54
broadband is not available in the area,Lithuania,2015,0.58
access elsewhere,Lithuania,2015,2.42
equipment costs are too high,Lithuania,2015,8.06
"access not needed (content is not useful, interesting, etc.)",Lithuania,2015,21.3
other reasons,Lithuania,2015,0.47
privacy or security concerns,Lithuania,2015,0.34
lack of skills,Lithuania,2015,10.95
"access costs are too high (telephone, etc.)",Luxembourg,2015,0.53
access elsewhere,Luxembourg,2015,1.06
equipment costs are too high,Luxembourg,2015,0.35
"access not needed (content is not useful, interesting, etc.)",Luxembourg,2015,1.97
other reasons,Luxembourg,2015,0.37
privacy or security concerns,Luxembourg,2015,0.89
lack of skills,Luxembourg,2015,0.35
"access costs are too high (telephone, etc.)",Malta,2015,2.36
broadband is not available in the area,Malta,2015,0.29
access elsewhere,Malta,2015,1.58
equipment costs are too high,Malta,2015,1.98
"access not needed (content is not useful, interesting, etc.)",Malta,2015,8.75
other reasons,Malta,2015,2.74
privacy or security concerns,Malta,2015,0.74
lack of skills,Malta,2015,11.89
"access costs are too high (telephone, etc.)",Netherlands,2015,0.66
broadband is not available in the area,Netherlands,2015,0.34
access elsewhere,Netherlands,2015,0.91
equipment costs are too high,Netherlands,2015,0.95
"access not needed (content is not useful, interesting, etc.)",Netherlands,2015,2.44
other reasons,Netherlands,2015,0.95
privacy or security concerns,Netherlands,2015,0.97
lack of skills,Netherlands,2015,1.27
"access costs are too high (telephone, etc.)",Poland,2015,4.56
broadband is not available in the area,Poland,2015,0.46
access elsewhere,Poland,2015,0.87
equipment costs are too high,Poland,2015,6.44
"access not needed (content is not useful, interesting, etc.)",Poland,2015,14.94
other reasons,Poland,2015,3.88
privacy or security concerns,Poland,2015,0.83
lack of skills,Poland,2015,11.76
"access costs are too high (telephone, etc.)",Portugal,2015,11.94
broadband is not available in the area,Portugal,2015,0.98
access elsewhere,Portugal,2015,3.07
equipment costs are too high,Portugal,2015,11.86
"access not needed (content is not useful, interesting, etc.)",Portugal,2015,13.32
other reasons,Portugal,2015,1.97
privacy or security concerns,Portugal,2015,3.97
lack of skills,Portugal,2015,19.45
"access costs are too high (telephone, etc.)",Romania,2015,7.61
broadband is not available in the area,Romania,2015,0.51
access elsewhere,Romania,2015,3.21
equipment costs are too high,Romania,2015,11.34
"access not needed (content is not useful, interesting, etc.)",Romania,2015,11.94
other reasons,Romania,2015,2.21
privacy or security concerns,Romania,2015,0.39
lack of skills,Romania,2015,13.18
"access costs are too high (telephone, etc.)",Slovakia,2015,2.11
broadband is not available in the area,Slovakia,2015,0.08
access elsewhere,Slovakia,2015,3.06
equipment costs are too high,Slovakia,2015,2.68
"access not needed (content is not useful, interesting, etc.)",Slovakia,2015,11.2
other reasons,Slovakia,2015,1.89
privacy or security concerns,Slovakia,2015,1.28
lack of skills,Slovakia,2015,10.11
"access costs are too high (telephone, etc.)",Slovenia,2015,5.6
broadband is not available in the area,Slovenia,2015,0.75
access elsewhere,Slovenia,2015,1.25
equipment costs are too high,Slovenia,2015,6.3
"access not needed (content is not useful, interesting, etc.)",Slovenia,2015,13.64
other reasons,Slovenia,2015,3.51
privacy or security concerns,Slovenia,2015,1.49
lack of skills,Slovenia,2015,6.5
"access costs are too high (telephone, etc.)",Spain,2015,5.62
broadband is not available in the area,Spain,2015,0.58
access elsewhere,Spain,2015,2.36
equipment costs are too high,Spain,2015,6.14
"access not needed (content is not useful, interesting, etc.)",Spain,2015,14.01
other reasons,Spain,2015,3.0
privacy or security concerns,Spain,2015,0.71
lack of skills,Spain,2015,8.5
"access costs are too high (telephone, etc.)",Sweden,2015,1.15
broadband is not available in the area,Sweden,2015,0.06
access elsewhere,Sweden,2015,1.53
equipment costs are too high,Sweden,2015,1.46
"access not needed (content is not useful, interesting, etc.)",Sweden,2015,3.97
other reasons,Sweden,2015,1.14
privacy or security concerns,Sweden,2015,0.4
lack of skills,Sweden,2015,1.87
"access costs are too high (telephone, etc.)",United Kingdom,2015,1.35
broadband is not available in the area,United Kingdom,2015,0.1
access elsewhere,United Kingdom,2015,1.04
equipment costs are too high,United Kingdom,2015,1.6
"access not needed (content is not useful, interesting, etc.)",United Kingdom,2015,3.77
other reasons,United Kingdom,2015,1.22
privacy or security concerns,United Kingdom,2015,0.42
lack of skills,United Kingdom,2015,2.3
"access costs are too high (telephone, etc.)",Austria,2016,1.88
broadband is not available in the area,Austria,2016,0.32
access elsewhere,Austria,2016,1.74
equipment costs are too high,Austria,2016,1.71
"access not needed (content is not useful, interesting, etc.)",Austria,2016,11.73
other reasons,Austria,2016,0.5
privacy or security concerns,Austria,2016,0.78
lack of skills,Austria,2016,2.91
"access costs are too high (telephone, etc.)",Belgium,2016,3.06
broadband is not available in the area,Belgium,2016,0.09
access elsewhere,Belgium,2016,1.67
equipment costs are too high,Belgium,2016,3.76
"access not needed (content is not useful, interesting, etc.)",Belgium,2016,6.37
other reasons,Belgium,2016,2.87
privacy or security concerns,Belgium,2016,1.22
lack of skills,Belgium,2016,4.41
"access costs are too high (telephone, etc.)",Bulgaria,2016,9.2
broadband is not available in the area,Bulgaria,2016,0.39
access elsewhere,Bulgaria,2016,1.54
equipment costs are too high,Bulgaria,2016,11.7
"access not needed (content is not useful, interesting, etc.)",Bulgaria,2016,15.48
other reasons,Bulgaria,2016,2.68
privacy or security concerns,Bulgaria,2016,0.26
lack of skills,Bulgaria,2016,18.03
"access costs are too high (telephone, etc.)",Croatia,2016,11.46
broadband is not available in the area,Croatia,2016,3.4
access elsewhere,Croatia,2016,2.75
equipment costs are too high,Croatia,2016,10.81
"access not needed (content is not useful, interesting, etc.)",Croatia,2016,11.93
other reasons,Croatia,2016,2.78
privacy or security concerns,Croatia,2016,2.64
lack of skills,Croatia,2016,12.3
"access costs are too high (telephone, etc.)",Cyprus,2016,6.53
broadband is not available in the area,Cyprus,2016,0.61
access elsewhere,Cyprus,2016,4.22
equipment costs are too high,Cyprus,2016,6.53
"access not needed (content is not useful, interesting, etc.)",Cyprus,2016,15.36
other reasons,Cyprus,2016,3.18
privacy or security concerns,Cyprus,2016,1.33
lack of skills,Cyprus,2016,14.41
"access costs are too high (telephone, etc.)",Denmark,2016,0.55
broadband is not available in the area,Denmark,2016,0.18
access elsewhere,Denmark,2016,1.26
equipment costs are too high,Denmark,2016,0.68
"access not needed (content is not useful, interesting, etc.)",Denmark,2016,1.7
other reasons,Denmark,2016,0.9
privacy or security concerns,Denmark,2016,0.17
lack of skills,Denmark,2016,0.93
"access costs are too high (telephone, etc.)",EU-27(from 2020),2016,3.53
broadband is not available in the area,EU-27(from 2020),2016,0.51
access elsewhere,EU-27(from 2020),2016,1.74
equipment costs are too high,EU-27(from 2020),2016,4.22
"access not needed (content is not useful, interesting, etc.)",EU-27(from 2020),2016,7.21
other reasons,EU-27(from 2020),2016,1.72
privacy or security concerns,EU-27(from 2020),2016,1.41
lack of skills,EU-27(from 2020),2016,6.74
"access costs are too high (telephone, etc.)",EU-28(2013-2020),2016,3.18
broadband is not available in the area,EU-28(2013-2020),2016,0.51
access elsewhere,EU-28(2013-2020),2016,1.62
equipment costs are too high,EU-28(2013-2020),2016,3.81
"access not needed (content is not useful, interesting, etc.)",EU-28(2013-2020),2016,6.71
other reasons,EU-28(2013-2020),2016,1.64
privacy or security concerns,EU-28(2013-2020),2016,1.28
lack of skills,EU-28(2013-2020),2016,6.09
"access costs are too high (telephone, etc.)",Estonia,2016,2.11
broadband is not available in the area,Estonia,2016,0.26
access elsewhere,Estonia,2016,2.05
equipment costs are too high,Estonia,2016,2.54
"access not needed (content is not useful, interesting, etc.)",Estonia,2016,9.79
other reasons,Estonia,2016,0.71
privacy or security concerns,Estonia,2016,0.41
lack of skills,Estonia,2016,4.09
"access costs are too high (telephone, etc.)",Finland,2016,1.24
